"file","line","category","snippet","first_class_name_60"
"src/app/components/lawyer/ExecutionCreationView.tsx","439","section","<div dir='rtl' className={ecg.modalShell}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ActionGridSection.tsx","209","article","<div className={EXECUTION_DOSSIER_ACTION_GRID_SHELL}>",""
"src/app/components/lawyer/ExecutionDashboard/components/DashboardHeaderExpandedDetails.tsx","36","article","<div className={EXECUTION_DOSSIER_SUMMARY_EXPANDED}>",""
"src/app/components/lawyer/ExecutionDashboard/components/DossierMetaEditSection.tsx","109","header","<div className={EXEC_OVERLAY_HEADER}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionAppointmentModal.tsx","217","header","<div className={EXEC_OVERLAY_HEADER}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionDashboardPhoneBodyHeader.tsx","76","header","<div className={EXECUTION_DOSSIER_PHONE_HEADER_SHELL}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionDashboardPhoneBodyHeader.tsx","77","header","<div className={EXECUTION_DOSSIER_PHONE_HEADER_GRID}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionDebtorNotificationMemoModalContainer.tsx","69","header","<div className={`sticky top-0 z-10 ${HUB_HEADER_CLASS} ${EXEC_MODAL_HEADER_SAFE_TOP}`}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionDecisionsModalContainer.tsx","58","header","<div className={EXEC_OVERLAY_HEADER}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionFollowupInstantFrame.tsx","81","section","<div className={EXEC_OVERLAY_PHONE_SHEET_XL}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionFollowupInstantFrame.tsx","82","header","<div className={EXEC_OVERLAY_HEADER}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionFollowupModalShell.tsx","109","section","<div className={EXEC_OVERLAY_PHONE_SHEET_XL}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionFollowupModalShell.tsx","110","header","<div className={EXEC_OVERLAY_HEADER}>",""
