"file","line","type","snippet_60chars","is_production_file"
"src/app/components/lawyer/smart-modal/layout/mainPanel/SmartFileWorkflowHubsSection.tsx","14","smell-tag:ToDo","import('../../parts/ToDoList').then((m) => ({ default: m.ToDoList }));","TRUE"
"src/app/components/lawyer/smart-modal/layout/mainPanel/SmartFileWorkflowHubsSection.tsx","203","smell-tag:ToDo","<LazyToDoList","TRUE"
"src/app/components/lawyer/smart-modal/lazySmartFileModalWidgets.tsx","7","smell-tag:ToDo","void import('./parts/ToDoList').catch(() => undefined);","TRUE"
"src/app/components/lawyer/smart-modal/parts/ToDoList.tsx","178","smell-tag:ToDo","export const ToDoList = memo(function ToDoList({","TRUE"
"src/app/components/lawyer/smart-modal/smartFile/caseLinking.ts","417","throw-generic","throw new Error('تعذّر تحديد الإضبارة الجزائية');","TRUE"
"src/app/components/lawyer/smart-modal/smartFile/cassationCorrectionTransition.ts","24","throw-generic","throw new Error('applyCassationCorrectionOpen: cassation stage not found');","TRUE"
"src/app/components/lawyer/smart-modal/smartFile/cassationCorrectionTransition.ts","122","throw-generic","throw new Error('applyCorrectionComplete: correction stage not found');","TRUE"
"src/app/components/lawyer/smart-modal/smartFile/cassationCorrectionTransition.ts","150","throw-generic","throw new Error('applyCorrectionComplete: litigation target stage missing');","TRUE"
"src/app/components/lawyer/smart-modal/smartFile/cassationCorrectionTransition.ts","192","throw-generic","throw new Error('applyCorrectionRejected: correction stage not found');","TRUE"
"src/app/components/lawyer/smart-modal/smartFile/cassationRemandTransition.ts","71","throw-generic","throw new Error('applyCassationRemand: cassation stage not found');","TRUE"
"src/app/components/lawyer/smart-modal/smartFile/cassationRemandTransition.ts","77","throw-generic","throw new Error('applyCassationRemand: no distinct prior stage to remand to');","TRUE"
"src/app/components/lawyer/smart-modal/smartFile/cassationRemandTransition.ts","81","throw-generic","throw new Error('applyCassationRemand: remand source stage missing');","TRUE"
"src/app/components/lawyer/smart-modal/smartFile/shareCaseReport.ts","53","throw-generic","throw new Error('Web Share API not supported');","TRUE"
"src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCard.tsx","28","smell-tag:ToDo","| 'onLinkGlobalToDossier'","TRUE"
"src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCard.tsx","54","smell-tag:ToDo","onLinkGlobalToDossier;","TRUE"
"src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCard.tsx","101","smell-tag:ToDo","onLinkGlobalToDossier={onLinkGlobalToDossier}","TRUE"
"src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCardActions.tsx","27","smell-tag:ToDo","onLinkGlobalToDossier: (note: GlobalNote; dossier: DossierPickerOption) => Promi","TRUE"
"src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCardActions.tsx","41","smell-tag:ToDo","onLinkGlobalToDossier;","TRUE"
"src/app/components/lawyer/SmartRepository/entryCards/GlobalEntryCardActions.tsx","66","smell-tag:ToDo","onConfirm={async (dossier) => onLinkGlobalToDossier(note; dossier)}","TRUE"
"src/app/components/lawyer/SmartRepository/entryCards/universalEntryCardTypes.ts","24","smell-tag:ToDo","onLinkGlobalToDossier: (note: GlobalNote; dossier: DossierPickerOption) => Promi","TRUE"
"src/app/components/lawyer/SmartRepository/hooks/useRepositoryCompose.ts","65","smell-tag:ToDo","const { handleLinkGlobalToDossier; handleBindVaultDoc } = useRepositoryComposeDo","TRUE"
"src/app/components/lawyer/SmartRepository/hooks/useRepositoryCompose.ts","210","smell-tag:ToDo","handleLinkGlobalToDossier;","TRUE"
"src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","15","smell-tag:ToDo","globalNoteToDossierPayload;","TRUE"
"src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","16","smell-tag:ToDo","vaultDocToDossierPayload;","TRUE"
"src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","43","smell-tag:ToDo","const handleLinkGlobalToDossier = useCallback(","TRUE"
"src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","46","smell-tag:ToDo","const payload = globalNoteToDossierPayload(note);","TRUE"
"src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","101","smell-tag:ToDo","const payload = vaultDocToDossierPayload(doc);","TRUE"
"src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","113","smell-tag:ToDo","await SmartVaultDB.bindToDossier(","TRUE"
"src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","131","smell-tag:ToDo","await SmartVaultDB.bindToDossier(","TRUE"
"src/app/components/lawyer/SmartRepository/hooks/useRepositoryComposeDossier.ts","164","smell-tag:ToDo","return { handleLinkGlobalToDossier; handleBindVaultDoc };","TRUE"
"src/app/components/lawyer/SmartRepository/hooks/useRepositoryRoomActions.ts","101","throw-generic","throw new Error('repository-room-delete-failed');","TRUE"
"src/app/components/lawyer/SmartRepository/RepositoryErrorBoundary.tsx","24","console:error","console.error('[RepositoryErrorBoundary]'; error);","TRUE"
"src/app/components/lawyer/SmartRepository/RepositoryFeedPanel.tsx","33","smell-tag:ToDo","onLinkGlobalToDossier: (note: GlobalNote; dossier: DossierPickerOption) => Promi","TRUE"
"src/app/components/lawyer/SmartRepository/RepositoryFeedPanel.tsx","65","smell-tag:ToDo","onLinkGlobalToDossier;","TRUE"
"src/app/components/lawyer/SmartRepository/RepositoryFeedPanel.tsx","109","smell-tag:ToDo","onLinkGlobalToDossier={onLinkGlobalToDossier}","TRUE"
"src/app/components/lawyer/SmartRepository/SmartRepositoryUnifiedFeed.tsx","113","smell-tag:ToDo","onLinkGlobalToDossier={compose.handleLinkGlobalToDossier}","TRUE"
"src/app/components/lawyer/SmartRepository/UniversalEntryCard.tsx","28","smell-tag:ToDo","onLinkGlobalToDossier;","TRUE"
"src/app/components/lawyer/SmartRepository/UniversalEntryCard.tsx","94","smell-tag:ToDo","onLinkGlobalToDossier={onLinkGlobalToDossier}","TRUE"
"src/app/components/lawyer/SmartVaultModal/scannerCamera.ts","94","throw-generic","if (comma < 0) throw new Error('invalid data url');","TRUE"
"src/app/components/lawyer/SmartVaultModal/scannerCamera.ts","159","throw-generic","throw new Error('UNSUPPORTED_CAMERA_API');","TRUE"
"src/app/components/lawyer/SmartVaultModal/scannerCamera.ts","172","throw-generic","throw new Error('UNSUPPORTED_CAMERA_API');","TRUE"
"src/app/components/lawyer/SmartVaultModal/VaultPdfJsViewer.tsx","100","throw-generic","if (!ctx) throw new Error('canvas 2d unavailable');","TRUE"
"src/app/components/lawyer/SmartVaultModal/VaultPdfJsViewer.tsx","112","console:error","console.error(`[vault-pdf] فشل رسم الصفحة ${pageNumber}`; err);","TRUE"
"src/app/components/lawyer/SmartVaultModal/VaultPdfJsViewer.tsx","238","console:error","console.error('[vault-pdf] فشل تحميل مستند PDF'; err);","TRUE"
"src/app/components/lawyer/TransactionsThreading/copyTransactionsText.ts","10","throw-generic","throw new Error('clipboard-unavailable');","TRUE"
"src/app/components/lawyer/TransactionsThreading/copyTransactionsText.ts","20","throw-generic","if (!ok) throw new Error('clipboard-unavailable');","TRUE"
"src/app/components/lawyer/TransactionsThreading/TransactionsChunkGuard.tsx","15","console:error","console.error('transactions-chunk-guard'; error; info.componentStack);","TRUE"
"src/app/components/lawyer/View_Urgent_And_Orders_Dashboard/UrgentDashboardOverlays.tsx","83","console:error","console.error('[UrgentOrders] form modal error:'; error; info.componentStack);","TRUE"
"src/app/components/lawyer/View_Urgent_And_Orders_Dashboard/UrgentDashboardOverlays.tsx","118","console:error","console.error('[UrgentOrders] dossier panel error:'; error; info.componentStack)","TRUE"
"src/app/components/ui/ErrorBoundary.tsx","57","console:error","console.error('[ErrorBoundary] Caught error:'; error);","TRUE"
"src/app/components/ui/ErrorBoundary.tsx","58","console:error","console.error('[ErrorBoundary] Component stack:'; errorInfo.componentStack);","TRUE"
"src/app/components/ui/ErrorBoundary.tsx","223","console:error","*       console.error('App Error:'; error);","TRUE"
"src/app/components/ui/icons/ListTodo.ts","1","smell-tag:Todo","export { default as ListTodo } from 'lucide-react/dist/esm/icons/list-todo.js';","TRUE"
"src/app/constants/iraqiLawBundleRegistry.ts","96","throw-generic","throw new Error('اسم القانون غير مسجل في نظام الحزم المحلية.');","TRUE"
"src/app/context/authHooks.ts","44","throw-generic","throw new Error('useAuth must be used within an AuthProvider');","TRUE"
"src/app/context/authProviderRuntime.ts","297","throw-generic","throw new Error('تعذّر فتح الجلسة بعد تسجيل الدخول');","TRUE"
"src/app/context/authProviderRuntime.ts","376","throw-generic","throw new Error('أدخل بريداً إلكترونياً صالحاً');","TRUE"
"src/app/context/authProviderRuntime.ts","398","throw-generic","throw new Error('أدخل بريداً إلكترونياً صالحاً');","TRUE"
"src/app/context/authProviderRuntime.ts","411","throw-generic","throw new Error('إعادة إرسال التأكيد متاحة عبر الخادم فقط');","TRUE"
"src/app/context/authProviderRuntime.ts","532","throw-generic","throw new Error('انتهت الجلسة — سجّل الدخول ثم أكمل بيانات التسجيل');","TRUE"
"src/app/context/authProviderRuntime.ts","750","console:warn","console.warn('[auth] local logout purge incomplete:'; result.failedStages.join('","TRUE"
"src/app/context/authProviderRuntime.ts","841","throw-generic","throw new Error('دخول المطوّر متاح في بيئة التطوير فقط');","TRUE"
"src/app/context/authProviderRuntime.ts","866","throw-generic","throw new Error('admin bypass disabled outside development');","TRUE"
"src/app/context/authProviderRuntime.ts","869","throw-generic","throw new Error('admin bypass requires development build');","TRUE"
"src/app/context/lawyerSettings/lawyerSettingsDevFallback.ts","52","smell-tag:ToDo","m.applySettingsToDom(LAWYER_SETTINGS_V2_DEFAULTS);","TRUE"
"src/app/context/lawyerSettings/lawyerSettingsDevFallback.ts","67","smell-tag:ToDo","m.applySettingsToDom(LAWYER_SETTINGS_V2_DEFAULTS);","TRUE"
"src/app/context/lawyerSettings/lawyerSettingsHooks.ts","36","console:warn","console.warn(","TRUE"
"src/app/context/lawyerSettings/lawyerSettingsHooks.ts","42","throw-generic","throw new Error('useLawyerSettings must be used within LawyerSettingsProvider');","TRUE"
"src/app/context/lawyerSettings/useLawyerSettingsDomSync.ts","3","smell-tag:ToDo","applySettingsToDom;","TRUE"
"src/app/context/lawyerSettings/useLawyerSettingsDomSync.ts","43","smell-tag:ToDo","applySettingsToDom(settingsRef.current);","TRUE"
"src/app/context/lawyerSettings/useLawyerSettingsHydration.ts","4","smell-tag:ToDo","import { applySettingsToDom } from '@/app/services/settings/apply';","TRUE"
"src/app/context/lawyerSettings/useLawyerSettingsHydration.ts","37","smell-tag:ToDo","applySettingsToDom(loaded);","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","159","throw-generic","throw new Error('لم يُرجع الخادم بيانات المستخدم المحدَّث');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","311","throw-generic","throw new Error('معرّف المستخدم مطلوب');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","314","throw-generic","throw new Error('دور غير مسموح');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","338","throw-generic","if (!targetId) throw new Error('معرّف المستخدم مطلوب');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","340","throw-generic","throw new Error('مدة التجميد غير صالحة');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","363","throw-generic","if (!targetId) throw new Error('معرّف المستخدم مطلوب');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","385","throw-generic","if (!targetId) throw new Error('معرّف المستخدم مطلوب');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","411","throw-generic","if (!targetId) throw new Error('معرّف المستخدم مطلوب');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","413","throw-generic","if (!nextPassword) throw new Error('كلمة المرور مطلوبة');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","449","throw-generic","if (!title || !message) throw new Error('العنوان والنص مطلوبان');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","451","throw-generic","throw new Error('نطاق الإرسال غير صالح');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","504","throw-generic","if (!targetId) throw new Error('معرّف المستخدم مطلوب');","TRUE"
"src/app/data/admin/SupabaseAdminRepository.ts","517","throw-generic","if (!targetId) throw new Error('معرّف المستخدم مطلوب');","TRUE"
