file,line,col,category,message_snippet
src\app\infrastructure\persistence\LocalStorageRepository.ts,247,13,console-prod-use,"console.error(""❌ [LocalStorageRepository] Failed to clear storage:"", error);"
src\app\modules\transactionsThreading\repository.ts,71,21,throw-prefix-missing,"Transaction not found"
src\app\modules\transactionsThreading\repository.ts,94,21,throw-prefix-missing,"Task not found"
src\app\modules\transactionsThreading\service.ts,64,14,throw-prefix-missing,"Transaction not found"
src\app\modules\transactionsThreading\service.ts,69,68,throw-prefix-missing,"Invalid parentTaskId"
src\app\modules\transactionsThreading\service.ts,92,20,throw-prefix-missing,"Task not found"
src\app\modules\transactionsThreading\service.ts,102,20,throw-prefix-missing,"Task not found"
src\app\modules\transactionsThreading\service.ts,120,20,throw-prefix-missing,"Task not found"
src\app\modules\transactionsThreading\service.ts,133,14,throw-prefix-missing,"Transaction not found"
src\app\modules\transactionsThreading\service.ts,139,14,throw-prefix-missing,"Transaction not found"
src\app\modules\transactionsThreading\service.ts,148,14,throw-prefix-missing,"Transaction not found"
src\app\modules\transactionsThreading\service.ts,175,14,throw-prefix-missing,"Transaction not found"
src\app\modules\transactionsThreading\store.ts,154,9,throw-prefix-missing,"transactions-user-not-bound"
src\app\runtime\capacitorWebShims\pluginStub.ts,13,9,throw-prefix-missing,"Geolocation unavailable on web build"
src\app\runtime\hamiSettingsLoader.ts,39,9,throw-prefix-missing,"HamiSettings export missing"
src\app\runtime\nativeBootSplash.ts,57,9,console-prod-use,"console.warn('[HamiBoot] notifyReady failed:', reason);"
src\app\runtime\profileSettingsStudioTabsLoader.ts,144,17,throw-prefix-missing,"profile-studio-chunk-missing:${chunk}"
src\app\services\admin\adminVerifyClient.ts,86,5,throw-prefix-missing,"admin_verify_${res.status}"
src\app\services\cloud\lawyerCommunityCloud.ts,44,9,console-prod-use,"console.warn('[LawyerStorage] ┘╪┤┘ ╪ص╪░┘ ┘à┘┘(╪د╪ز) ┘à┘ ╪د┘┘à╪«╪▓┘:', toRemove.join(', '));"
src\app\services\CryptoService.ts,8,16,console-prod-use,"if (__DEV__) console.warn(...a);"
src\app\services\CryptoService.ts,11,16,console-prod-use,"if (__DEV__) console.error(...a);"
src\app\services\CryptoService.ts,884,7,throw-prefix-missing,"[CryptoService] Data does not appear to be encrypted or is corrupted"
src\app\services\CryptoService.ts,915,33,throw-prefix-missing,"[CryptoService] Tampered data: invalid IV/ciphertext format"
src\app\services\forum\ForumNotificationStreamService.ts,68,9,throw-prefix-missing,"stream ${response.status}"
src\app\services\notifications\notificationProductionReadiness.ts,25,13,console-prod-use,"console.warn("
src\app\services\plaintextFallbackSignal.ts,25,9,console-prod-use,"console.warn("
src\app\services\profile\buildProfileEditPersistPayload.ts,32,9,throw-prefix-missing,"profile-edit-name-required"
src\app\services\profile\profileImageEditor.ts,91,19,throw-prefix-missing,"canvas unavailable"
src\app\services\profile\profileImageEditor.ts,134,15,throw-prefix-missing,"canvas unavailable"
src\app\services\profile\profileImageEditor.ts,145,16,throw-prefix-missing,"export failed"
src\app\services\profileMediaCompress.ts,64,56,throw-prefix-missing,"invalid dimensions"
