file,line,has_type,type_value,has_onClick,inside_form_context,class_final,downgrade_reason_or_note,raw_snippet_240chars
"src/app/components/admin/HeadquartersUserDossier.tsx",408,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""hq-verify-slot"" onClick={() => setDocPeek(true)} aria-label={`عرض ${slot.label} بالحجم الكامل`} >"
"src/app/components/admin/HeadquartersUserDossier.tsx",446,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={busy} onClick={() => void runRestore()} className=""inline-flex min-h-11 w-full items-center justify-center rounded-lg border border-emerald-600/50 bg-emerald-600/15 px-3 text-sm font-bold text-emerald-400 "
"src/app/components/admin/HeadquartersUserDossier.tsx",460,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={busy} data-testid=""hq-dossier-public-badge"" aria-pressed={user.publicVerifiedBadge === true} onClick={() => void runPublicBadge(user.publicVerifiedBadge !== true)} className=""inline-flex min-h-11 w-full "
"src/app/components/admin/HeadquartersUserDossier.tsx",476,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button key={option.hours} type=""button"" disabled={busy} onClick={() => void runFreeze(option.hours)} className=""min-h-11 rounded-lg border border-amber-600/50 bg-amber-600/15 px-3 text-sm font-bold text-amber-400 transition hover:bg-amb"
"src/app/components/admin/HeadquartersUserDossier.tsx",488,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={busy} onClick={() => void runUnfreeze()} className=""mt-2 inline-flex min-h-11 w-full items-center justify-center rounded-lg border border-emerald-600/50 bg-emerald-600/15 px-3 text-sm font-bold text-emeral"
"src/app/components/admin/HeadquartersUserDossier.tsx",502,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button key={`login-${option.hours}`} type=""button"" disabled={busy} onClick={() => void runLockLogin(option.hours)} className=""min-h-11 rounded-lg border border-amber-600/50 bg-amber-600/15 px-3 text-sm font-bold text-amber-400 transitio"
"src/app/components/admin/HeadquartersUserDossier.tsx",514,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={busy} onClick={() => void runUnlockLogin()} className=""mt-2 inline-flex min-h-11 w-full items-center justify-center rounded-lg border border-emerald-600/50 bg-emerald-600/15 px-3 text-sm font-bold text-eme"
"src/app/components/admin/HeadquartersUserDossier.tsx",536,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button key={`forum-${option.hours}`} type=""button"" disabled={busy} onClick={() => void runBanForum(option.hours)} className=""min-h-11 rounded-lg border border-amber-600/50 bg-amber-600/15 px-3 text-sm font-bold text-amber-400 transition"
"src/app/components/admin/HeadquartersUserDossier.tsx",547,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={busy} onClick={() => void runUnbanForum()} className=""mt-2 inline-flex min-h-11 w-full items-center justify-center rounded-lg border border-emerald-600/50 bg-emerald-600/15 px-3 text-sm font-bold text-emer"
"src/app/components/admin/HeadquartersUserDossier.tsx",558,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={busy} onClick={() => void runRevoke()} className=""inline-flex min-h-11 w-full items-center justify-center rounded-lg border border-white/20 bg-white/5 px-3 text-sm font-bold text-white/80 transition hover:"
"src/app/components/admin/HeadquartersUserDossier.tsx",595,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={busy || !password} onClick={() => void runPassword()} className=""mt-2 inline-flex min-h-11 w-full items-center justify-center rounded-lg border border-[#E6C673]/35 bg-[#E6C673]/10 px-3 text-sm font-bold te"
"src/app/components/admin/HeadquartersUserDossier.tsx",606,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={busy} onClick={() => void runSoftDelete()} className=""inline-flex min-h-11 w-full items-center justify-center rounded-lg border border-red-600/50 bg-red-600/15 px-3 text-sm font-bold text-red-400 transitio"
